Number of frames: 100
Frequency: 100
Units: mm

Frame,Isabelle Biomech 4 LED Stylus Calibrati q0,Isabelle Biomech 4 LED Stylus Calibrati qx,Isabelle Biomech 4 LED Stylus Calibrati qy,Isabelle Biomech 4 LED Stylus Calibrati qz,Isabelle Biomech 4 LED Stylus Calibrati x,Isabelle Biomech 4 LED Stylus Calibrati y,Isabelle Biomech 4 LED Stylus Calibrati z,Isabelle Biomech 4 LED Stylus Calibrati Error,Tibia q0,Tibia qx,Tibia qy,Tibia qz,Tibia x,Tibia y,Tibia z,Tibia Error,Patella q0,Patella qx,Patella qy,Patella qz,Patella x,Patella y,Patella z,Patella Error,Femur q0,Femur qx,Femur qy,Femur qz,Femur x,Femur y,Femur z,Femur Error
24,0.677568257,-0.124456547,-0.673639178,-0.267623037,-24.725917816,36.820636749,-2665.068847656,0.148958728,-0.179663196,-0.581913292,0.743289828,-0.276800096,59.483512878,-86.781021118,-2688.110107422,0.095377259,-0.190623581,0.061236009,0.970256090,-0.136073187,123.792976379,37.117191315,-2650.733154297,0.243038818,0.008938793,-0.676010013,0.728931427,-0.107654817,96.975128174,126.596855164,-2704.395751953,0.179506689,
25,0.677443624,-0.124271512,-0.673693895,-0.267886639,-24.718338013,36.813198090,-2665.087890625,0.153591856,-0.179638505,-0.581875741,0.743330300,-0.276786298,59.485702515,-86.781921387,-2688.112304688,0.094696060,-0.190495744,0.061256517,0.970302165,-0.135914579,123.792854309,37.116535187,-2650.740966797,0.244616210,0.008916006,-0.676003873,0.728937149,-0.107656427,96.971443176,126.596153259,-2704.397460938,0.178645819,
26,0.677371800,-0.124099232,-0.673693419,-0.268149197,-24.717687607,36.816852570,-2665.076904297,0.149653748,-0.179447696,-0.581864119,0.743395388,-0.276759893,59.485279083,-86.782249451,-2688.115722656,0.097463474,-0.190401271,0.061289784,0.970315337,-0.135937616,123.795822144,37.114318848,-2650.739013672,0.245743006,0.008769405,-0.676022232,0.728925228,-0.107634142,96.975692749,126.594795227,-2704.390625000,0.179387406,
27,0.677406669,-0.123939209,-0.673613667,-0.268335521,-24.715093613,36.817005157,-2665.040527344,0.155683458,-0.179548919,-0.581876755,0.743367016,-0.276743710,59.485618591,-86.782257080,-2688.112792969,0.096409954,-0.190549493,0.061249010,0.970280290,-0.135998890,123.794944763,37.112388611,-2650.736572266,0.244310826,0.008800402,-0.676015437,0.728912413,-0.107760824,96.973258972,126.594490051,-2704.386474609,0.178796202,
28,0.677329957,-0.123902254,-0.673702776,-0.268322468,-24.714807510,36.817005157,-2665.085205078,0.157951951,-0.179640099,-0.581847668,0.743304074,-0.276914686,59.482513428,-86.782722473,-2688.113525391,0.094115868,-0.190600887,0.061296668,0.970281422,-0.135896802,123.795089722,37.110191345,-2650.739013672,0.244418770,0.009050794,-0.676005721,0.728929222,-0.107686728,96.975128174,126.594802856,-2704.387451172,0.178971201,
29,0.677389026,-0.123940825,-0.673663378,-0.268254399,-24.708740234,36.819355011,-2665.089599609,0.154585972,-0.179510534,-0.581913769,0.743356943,-0.276717931,59.484676361,-86.781814575,-2688.118652344,0.095584586,-0.190576270,0.061285842,0.970267951,-0.136032492,123.797164917,37.109119415,-2650.742675781,0.244098887,0.009114230,-0.675989389,0.728957653,-0.107591808,96.970108032,126.595321655,-2704.391113281,0.178475887,
30,0.677533984,-0.124068923,-0.673545897,-0.268124074,-24.706211090,36.821464539,-2665.069824219,0.158034399,-0.179577097,-0.581924677,0.743364453,-0.276631594,59.485828400,-86.781471252,-2688.114257813,0.097475559,-0.190553680,0.061296646,0.970264733,-0.136082068,123.801055908,37.109615326,-2650.745849609,0.243498027,0.008783761,-0.675983369,0.728920102,-0.107910998,96.975173950,126.596130371,-2704.392089844,0.177647427,
31,0.677638590,-0.124054313,-0.673431873,-0.268152922,-24.706098557,36.816799164,-2665.040771484,0.154509351,-0.179402426,-0.581908524,0.743405044,-0.276669830,59.483558655,-86.781951904,-2688.113525391,0.097500950,-0.190588385,0.061281338,0.970280409,-0.135928690,123.799453735,37.108699799,-2650.743164063,0.244364142,0.009115423,-0.675979674,0.728930473,-0.107836634,96.971870422,126.596275330,-2704.393066406,0.178026587,
32,0.677587390,-0.123914801,-0.673426926,-0.268359125,-24.701587677,36.819122314,-2665.036865234,0.154167295,-0.179443896,-0.581844449,0.743356884,-0.276906997,59.483810425,-86.782173157,-2688.116699219,0.094930857,-0.190387741,0.061281014,0.970317006,-0.135948658,123.800643921,37.107074738,-2650.745605469,0.245315135,0.009084295,-0.676050425,0.728923917,-0.107439533,96.973831177,126.595306396,-2704.389160156,0.178919896,
33,0.677371800,-0.123712823,-0.673573196,-0.268629372,-24.702327728,36.821830750,-2665.074218750,0.156148329,-0.179576144,-0.581887007,0.743331969,-0.276798546,59.483028412,-86.782402039,-2688.116699219,0.095805027,-0.190417051,0.061275434,0.970298707,-0.136040628,123.799278259,37.107284546,-2650.743408203,0.244895518,0.009040467,-0.676018715,0.728925765,-0.107629545,96.972503662,126.595146179,-2704.388183594,0.177398667,
