Number of frames: 100
Frequency: 100
Units: mm

Frame,Isabelle Biomech 4 LED Stylus Calibrati q0,Isabelle Biomech 4 LED Stylus Calibrati qx,Isabelle Biomech 4 LED Stylus Calibrati qy,Isabelle Biomech 4 LED Stylus Calibrati qz,Isabelle Biomech 4 LED Stylus Calibrati x,Isabelle Biomech 4 LED Stylus Calibrati y,Isabelle Biomech 4 LED Stylus Calibrati z,Isabelle Biomech 4 LED Stylus Calibrati Error,Tibia q0,Tibia qx,Tibia qy,Tibia qz,Tibia x,Tibia y,Tibia z,Tibia Error,Patella q0,Patella qx,Patella qy,Patella qz,Patella x,Patella y,Patella z,Patella Error,Femur q0,Femur qx,Femur qy,Femur qz,Femur x,Femur y,Femur z,Femur Error
12,-0.504914522,0.168788031,0.797655880,0.283402622,35.658752441,32.624073029,-2682.230468750,0.170442730,-0.178590059,-0.580882072,0.744041800,-0.277639002,59.226570129,-86.907287598,-2688.038330078,0.092213430,-0.189747274,0.063405760,0.970251977,-0.136333317,123.626693726,36.848751068,-2650.639892578,0.242627159,0.009068551,-0.675883889,0.729002893,-0.107951254,96.951843262,126.607025146,-2704.452880859,0.176247075,
13,-0.505304813,0.169035763,0.797485292,0.283039212,35.669857025,32.569656372,-2682.208251953,0.169056550,-0.178394035,-0.580884039,0.744093478,-0.277622432,59.232143402,-86.908561707,-2688.040039063,0.092464425,-0.190139472,0.063335091,0.970167041,-0.136424154,123.657600403,36.828598022,-2650.673339844,0.240294620,0.009001127,-0.675900102,0.728994846,-0.107909910,96.957077026,126.608177185,-2704.452392578,0.176901743,
14,-0.505495071,0.169290617,0.797365308,0.282885164,35.670246124,32.560279846,-2682.214355469,0.170606419,-0.178109020,-0.580877721,0.744169414,-0.277615130,59.228530884,-86.910125732,-2688.043945313,0.093472660,-0.189784706,0.063278899,0.970251024,-0.136347145,123.665176392,36.823047638,-2650.691894531,0.243039221,0.009084211,-0.675924897,0.728983998,-0.107821114,96.956054688,126.607498169,-2704.459472656,0.177830324,
15,-0.505560994,0.169190332,0.797267854,0.283101887,35.669284821,32.563850403,-2682.194824219,0.169604465,-0.178368643,-0.580923319,0.744075775,-0.277604043,59.228733063,-86.907836914,-2688.044433594,0.093210876,-0.189805627,0.063269697,0.970261097,-0.136250496,123.661277771,36.826885223,-2650.697753906,0.243759125,0.009120577,-0.675907314,0.728993177,-0.107866198,96.953262329,126.606582642,-2704.464355469,0.177341208,
16,-0.505524397,0.169109225,0.797218442,0.283354670,35.680839539,32.569057465,-2682.202392578,0.172750309,-0.178559378,-0.580911636,0.744049132,-0.277577162,59.229217529,-86.906265259,-2688.043945313,0.093675897,-0.190028071,0.063289225,0.970224261,-0.136193529,123.662170410,36.829208374,-2650.696044922,0.242002502,0.008943615,-0.675906479,0.728993356,-0.107884817,96.953460693,126.608192444,-2704.461181641,0.176451877,
17,-0.505669415,0.169241369,0.797073245,0.283425599,35.673927307,32.571372986,-2682.173828125,0.175423071,-0.178450659,-0.580897927,0.744102478,-0.277532756,59.228481293,-86.904968262,-2688.043212891,0.093218185,-0.190043733,0.063292220,0.970219433,-0.136204705,123.660202026,36.827239990,-2650.687255859,0.242056131,0.008721250,-0.675913632,0.728986084,-0.107907511,96.953773499,126.610397339,-2704.455810547,0.177089378,
18,-0.505676925,0.169234604,0.796999097,0.283624619,35.674465179,32.583328247,-2682.154785156,0.172695920,-0.178565845,-0.580911875,0.744081140,-0.277486622,59.223064423,-86.904167175,-2688.039794922,0.092900723,-0.189762339,0.063335374,0.970253944,-0.136331052,123.657150269,36.823780060,-2650.687500000,0.244338572,0.008870470,-0.675912976,0.729000688,-0.107800640,96.952560425,126.609550476,-2704.459228516,0.178361386,
19,-0.505595505,0.169333071,0.797006249,0.283690959,35.684600830,32.573871613,-2682.172119141,0.175421208,-0.178399473,-0.580877423,0.744107425,-0.277595311,59.223423004,-86.906227112,-2688.043212891,0.092732839,-0.189820468,0.063312978,0.970265806,-0.136175886,123.656600952,36.821483612,-2650.694335938,0.244293913,0.009052439,-0.675906718,0.729009151,-0.107767388,96.950538635,126.608627319,-2704.459960938,0.177408576,
20,-0.505564213,0.169339910,0.796982288,0.283809900,35.678768158,32.572151184,-2682.166992188,0.177650720,-0.178327248,-0.580911398,0.744091213,-0.277614266,59.227092743,-86.907707214,-2688.046875000,0.093073860,-0.189881191,0.063309520,0.970278144,-0.136004835,123.658782959,36.821949005,-2650.693359375,0.244099945,0.009151489,-0.675923645,0.729010224,-0.107645310,96.954376221,126.608764648,-2704.461914063,0.177683771,
21,-0.505517066,0.169463485,0.796983421,0.283817023,35.683719635,32.572486877,-2682.169433594,0.180812418,-0.178537160,-0.580947280,0.744089007,-0.277409911,59.229145050,-86.907569885,-2688.046142578,0.094839528,-0.189744756,0.063349910,0.970276833,-0.136185706,123.659263611,36.823516846,-2650.690429688,0.244599223,0.009319390,-0.675930381,0.728977859,-0.107807867,96.956520081,126.608154297,-2704.466308594,0.176999643,
